PID,GrLivArea,SalePrice,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,ZngCdPr,ClassPr_S,ClassSc_S,LndAc_S,OthAc_S,GLA,BsmtLivArea,GrLivAreaBucks
531382110,1680,163000,60,RL,50.0,8480,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm,1Fam,2Story,6,5,1993,1994,Gable,CompShg,HdBoard,HdBoard,BrkFace,120.0,4,3,PConc,4,3,0,5,602.0,0,0.0,284.0,886.0,GasA,5,Y,SBrkr,886,794,0,0.0,1.0,2,1,3,1,4,7,Typ,0,0,Attchd,1993.0,2.0,2.0,474.0,3.0,3.0,Y,144,96,0,0,0,0,0,None,None,0,10,2008,WD ,Normal,RL,RESIDENTIAL,2-STORY 1946 & NEWER,55100.0,165300.0,1680.0,602.0,21
906380120,1274,203000,20,RL,68.0,8814,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2005,2007,Gable,CompShg,VinylSd,VinylSd,BrkFace,80.0,4,3,PConc,4,3,0,5,925.0,0,0.0,349.0,1274.0,GasA,5,Y,SBrkr,1274,0,0,1.0,0.0,2,0,3,1,4,6,Typ,0,0,Attchd,2005.0,2.0,2.0,508.0,3.0,3.0,Y,264,98,0,0,0,0,0,None,None,0,1,2007,New,Partial,FS-RL,RESIDENTIAL,1-STORY 1946 & NEWER ALL STYLES,59700.0,178900.0,1274.0,925.0,10
909101060,864,67000,30,RL,45.0,8248,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1Story,3,3,1914,1950,Gable,CompShg,Stucco,Stucco,None,0.0,3,3,BrkTil,3,3,0,3,41.0,0,0.0,823.0,864.0,GasA,3,N,FuseF,864,0,0,1.0,0.0,1,0,2,1,3,5,Typ,0,0,None,1978.0,0.0,0.0,0.0,0.0,0.0,N,0,0,100,0,0,0,0,None,None,0,9,2008,WD ,Normal,RL,RESIDENTIAL,1-STORY 1945 & OLDER,20600.0,61700.0,864.0,41.0,1
534152050,1610,205000,20,RL,75.13793103448276,10603,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,1Story,6,7,1977,2001,Gable,CompShg,Plywood,Plywood,BrkFace,28.0,3,3,PConc,3,3,1,4,1200.0,0,0.0,410.0,1610.0,GasA,4,Y,SBrkr,1610,0,0,1.0,0.0,2,0,3,1,4,6,Typ,2,3,Attchd,1977.0,2.0,2.0,480.0,3.0,3.0,Y,168,68,0,0,0,0,0,None,None,0,2,2010,WD ,Normal,RL,RESIDENTIAL,1-STORY 1946 & NEWER ALL STYLES,68100.0,204400.0,1610.0,1200.0,19
923252075,1091,131250,80,RL,62.0,7706,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,SLvl,6,5,1993,1996,Gable,CompShg,HdBoard,HdBoard,None,0.0,3,4,CBlock,4,3,2,2,114.0,5,270.0,0.0,384.0,GasA,5,Y,SBrkr,1091,0,0,0.0,1.0,1,0,2,1,3,5,Typ,0,0,Attchd,1993.0,3.0,1.0,429.0,3.0,3.0,Y,280,0,0,0,0,0,0,None,Shed,700,8,2009,WD ,Normal,RL,RESIDENTIAL,SPLIT OR MULTI-LEVEL,41200.0,123700.0,1091.0,384.0,6
531376060,1486,181000,20,RL,65.0,7441,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm,1Fam,1Story,7,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,170.0,4,3,PConc,4,3,0,0,0.0,0,0.0,1461.0,1461.0,GasA,5,Y,SBrkr,1486,0,0,0.0,0.0,2,0,3,1,4,7,Typ,0,0,Attchd,2006.0,2.0,2.0,566.0,3.0,3.0,Y,0,32,0,0,0,0,0,None,None,0,6,2007,WD ,Normal,RL,RESIDENTIAL,1-STORY 1946 & NEWER ALL STYLES,60700.0,182200.0,1478.0,0.0,16
902201120,789,115000,20,RM,50.0,6000,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1Story,5,5,1948,1950,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,CBlock,3,3,0,4,104.0,3,169.0,516.0,789.0,GasA,5,Y,SBrkr,789,0,0,0.0,0.0,1,0,2,1,3,5,Typ,0,0,Detchd,1948.0,1.0,1.0,250.0,3.0,3.0,Y,0,0,0,0,0,0,0,None,None,0,4,2008,WD ,Partial,UCRM,RESIDENTIAL,1-STORY 1946 & NEWER ALL STYLES,34200.0,102600.0,789.0,273.0,0
923228080,1092,98000,160,RM,21.0,1477,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,Norm,Twnhs,2Story,6,9,1970,2007,Gable,CompShg,CemntBd,CmentBd,None,0.0,3,4,CBlock,3,3,0,5,358.0,0,0.0,188.0,546.0,GasA,5,Y,SBrkr,546,546,0,0.0,0.0,2,1,3,1,3,6,Typ,0,0,None,1978.0,0.0,0.0,0.0,0.0,0.0,Y,187,0,0,0,0,0,0,None,None,0,3,2008,WD ,Normal,F-PRD,RESIDENTIAL,2-STORY TWNHM - 1946 & NEWER,27300.0,81900.0,1092.0,358.0,6
902326030,2640,265979,70,RM,65.0,11700,Pave,Pave,IR1,Lvl,AllPub,Corner,Gtl,OldTown,Norm,Norm,1Fam,2Story,7,7,1880,2003,Mansard,CompShg,Stucco,Stucco,None,0.0,4,3,Stone,3,2,0,0,0.0,0,0.0,1240.0,1240.0,GasW,3,N,SBrkr,1320,1320,0,0.0,0.0,1,1,4,1,4,8,Typ,1,4,Detchd,1950.0,1.0,4.0,864.0,3.0,3.0,N,181,0,386,0,0,0,0,None,None,0,5,2009,WD ,Normal,RM,RESIDENTIAL,2-STORY 1945 & OLDER,57300.0,172000.0,2640.0,0.0,29
527451330,1092,105500,160,RM,21.0,1680,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,BrDale,Norm,Norm,Twnhs,2Story,5,5,1971,1971,Gable,CompShg,HdBoard,HdBoard,BrkFace,492.0,3,3,CBlock,3,3,0,2,300.0,0,0.0,225.0,525.0,GasA,3,Y,SBrkr,525,567,0,0.0,0.0,1,1,3,1,3,6,Typ,0,0,Detchd,1997.0,1.0,1.0,320.0,3.0,3.0,Y,0,0,0,0,0,0,0,None,None,0,3,2010,WD ,Normal,F-PRD,RESIDENTIAL,2-STORY TWNHM - 1946 & NEWER,30700.0,92000.0,1092.0,300.0,6
528218100,1458,168165,60,RL,58.0,13204,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,RRAn,Norm,1Fam,2Story,7,5,2006,2007,Gable,CompShg,VinylSd,VinylSd,Stone,44.0,3,3,PConc,4,3,0,0,0.0,0,0.0,608.0,608.0,GasA,5,Y,SBrkr,608,850,0,0.0,0.0,2,0,3,1,4,6,Typ,0,0,BuiltIn,2007.0,3.0,2.0,454.0,3.0,3.0,Y,100,33,0,0,0,0,0,None,None,0,5,2007,New,Partial,RL,RESIDENTIAL,2-STORY 1946 & NEWER,51200.0,153500.0,1409.0,0.0,15
916386140,1466,201000,20,RL,73.0,8925,Pave,None,IR1,HLS,AllPub,Inside,Gtl,Timber,Norm,Norm,1Fam,1Story,8,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,3,PConc,4,3,2,5,16.0,0,0.0,1450.0,1466.0,GasA,5,Y,SBrkr,1466,0,0,0.0,0.0,2,0,3,1,4,7,Typ,0,0,Attchd,2007.0,3.0,3.0,610.0,3.0,3.0,Y,100,18,0,0,0,0,0,None,None,0,7,2009,WD ,Normal,F-PRD,RESIDENTIAL,1-STORY 1946 & NEWER ALL STYLES,78500.0,235500.0,1415.0,16.0,15
533221090,1573,177500,160,FV,26.116666666666667,2117,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,Twnhs,2Story,6,5,2000,2000,Gable,CompShg,MetalSd,MetalSd,BrkFace,216.0,4,3,PConc,4,3,0,5,378.0,0,0.0,378.0,756.0,GasA,5,Y,SBrkr,769,804,0,0.0,0.0,2,1,3,1,4,5,Typ,0,0,Detchd,2000.0,1.0,2.0,440.0,3.0,3.0,Y,0,32,0,0,0,0,0,None,None,0,6,2010,WD ,Normal,F-VR,RESIDENTIAL,2-STORY TWNHM - 1946 & NEWER,52100.0,156200.0,1573.0,378.0,18
534128010,2090,200000,60,RL,79.36111111111111,10382,Pave,None,IR1,Lvl,AllPub,Corner,Gtl,NWAmes,PosN,Norm,1Fam,2Story,7,6,1973,1973,Gable,CompShg,HdBoard,HdBoard,Stone,240.0,3,3,CBlock,4,3,1,4,859.0,3,32.0,216.0,1107.0,GasA,5,Y,SBrkr,1107,983,0,1.0,0.0,2,1,3,1,3,7,Typ,2,3,Attchd,1973.0,2.0,2.0,484.0,3.0,3.0,Y,235,204,228,0,0,0,0,None,Shed,350,11,2009,WD ,Normal,RL,RESIDENTIAL,2-STORY 1946 & NEWER,67700.0,203200.0,2090.0,891.0,26
528106110,2046,450000,20,RL,105.0,15431,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,10,5,2005,2006,Hip,CompShg,VinylSd,VinylSd,BrkFace,400.0,5,3,PConc,5,3,3,5,1430.0,0,0.0,564.0,1994.0,GasA,5,Y,SBrkr,2046,0,0,1.0,0.0,2,1,2,1,5,7,Typ,2,4,Attchd,2005.0,3.0,3.0,878.0,3.0,3.0,Y,188,65,0,0,175,0,0,None,None,0,8,2007,WD ,Normal,FS-RL,RESIDENTIAL,1-STORY 1946 & NEWER ALL STYLES,119100.0,357400.0,2106.0,1430.0,26
902206260,886,91300,30,RM,50.0,5784,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Artery,Norm,1Fam,1Story,5,8,1938,1996,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,3,BrkTil,2,3,0,0,0.0,0,0.0,190.0,190.0,GasA,4,Y,FuseA,886,0,0,0.0,0.0,1,0,2,1,3,4,Typ,0,0,Attchd,1938.0,1.0,1.0,273.0,3.0,3.0,Y,144,20,80,0,0,0,0,None,None,0,12,2009,WD ,Normal,RM,RESIDENTIAL,1-STORY 1945 & OLDER,29100.0,87300.0,886.0,0.0,2
528222090,1258,173500,20,RL,64.0,7697,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,1Story,7,6,2007,2007,Gable,CompShg,VinylSd,VinylSd,BrkFace,0.0,4,3,PConc,4,3,0,0,0.0,0,0.0,1246.0,1246.0,GasA,5,Y,SBrkr,1258,0,0,0.0,0.0,2,0,3,1,4,6,Typ,0,0,Attchd,2007.0,2.0,2.0,462.0,3.0,3.0,Y,0,0,0,0,0,0,0,None,None,0,8,2007,New,Partial,RL,RESIDENTIAL,1-STORY 1946 & NEWER ALL STYLES,55700.0,167100.0,1322.0,0.0,10
528218150,1324,199500,20,RL,100.0,18494,Pave,None,IR1,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Norm,1Fam,1Story,6,5,2005,2005,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,3,PConc,4,3,0,0,0.0,0,0.0,1324.0,1324.0,GasA,5,Y,SBrkr,1324,0,0,0.0,0.0,2,0,3,1,4,6,Typ,0,0,Attchd,2005.0,3.0,2.0,430.0,3.0,3.0,Y,36,23,0,0,0,0,0,None,None,0,1,2010,WD ,Normal,RL,RESIDENTIAL,1-STORY 1946 & NEWER ALL STYLES,67600.0,202600.0,1324.0,0.0,12
903400180,1848,207000,50,RL,64.0,13053,Pave,Pave,Reg,Bnk,AllPub,Inside,Gtl,BrkSide,Norm,Norm,1Fam,1.5Fin,6,7,1923,2000,Gambrel,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,BrkTil,3,3,0,0,0.0,0,0.0,833.0,833.0,GasA,4,Y,SBrkr,1053,795,0,0.0,0.0,1,1,4,1,4,8,Typ,1,4,Detchd,1922.0,1.0,2.0,370.0,3.0,3.0,N,0,0,0,0,220,0,0,None,None,0,6,2008,WD ,Normal,RL,RESIDENTIAL,1-1/2 STORY FINISHED ALL AGES,60400.0,181100.0,1848.0,0.0,24
535453210,1269,155000,20,RL,70.0,7931,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1960,1960,Gable,CompShg,BrkFace,Wd Sdng,None,0.0,3,3,CBlock,3,3,0,3,374.0,1,532.0,363.0,1269.0,GasA,3,Y,FuseA,1269,0,0,0.0,0.0,1,1,3,1,3,6,Typ,1,2,Detchd,1964.0,1.0,1.0,308.0,3.0,3.0,Y,0,0,0,0,0,0,0,None,None,0,6,2008,WD ,Normal,RL,RESIDENTIAL,1-STORY 1946 & NEWER ALL STYLES,43000.0,129100.0,1269.0,906.0,10
916386010,1346,220000,20,RL,88.0,11896,Pave,None,IR1,Lvl,AllPub,Corner,Gtl,Timber,Norm,Norm,1Fam,1Story,7,5,2008,2008,Gable,CompShg,VinylSd,VinylSd,Stone,60.0,4,3,PConc,4,3,0,5,78.0,0,0.0,1258.0,1336.0,GasA,5,Y,SBrkr,1346,0,0,1.0,0.0,2,0,3,1,4,6,Typ,1,3,Attchd,2008.0,3.0,3.0,660.0,3.0,3.0,Y,100,48,0,0,0,0,0,None,None,0,5,2010,WD ,Normal,F-PRD,RESIDENTIAL,1-STORY 1946 & NEWER ALL STYLES,69600.0,208900.0,1346.0,78.0,12
907181090,1749,196000,60,RL,68.0,9272,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,1999,1999,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,3,PConc,4,3,0,5,500.0,0,0.0,342.0,842.0,GasA,5,Y,SBrkr,856,893,0,0.0,0.0,2,1,3,1,4,7,Typ,0,0,Attchd,1999.0,2.0,2.0,515.0,3.0,3.0,Y,140,85,0,0,0,0,0,None,None,0,6,2006,WD ,Normal,RL,RESIDENTIAL,2-STORY 1946 & NEWER,61700.0,184900.0,1787.0,500.0,22
902206020,492,61500,30,RM,52.0,7830,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1Story,3,5,1921,1950,Gable,CompShg,AsbShng,AsbShng,None,0.0,3,3,BrkTil,2,3,0,1,416.0,0,0.0,76.0,492.0,GasA,3,Y,SBrkr,492,0,0,1.0,0.0,1,0,1,1,3,3,Typ,0,0,Detchd,1921.0,1.0,1.0,200.0,2.0,3.0,N,0,0,78,0,0,0,0,None,None,0,6,2006,WD ,Normal,UCRM,RESIDENTIAL,1-STORY 1945 & OLDER,26000.0,78100.0,492.0,416.0,0
527327050,2030,195000,60,RL,87.0,12046,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,2Story,6,6,1976,1976,Gable,CompShg,Plywood,Plywood,BrkFace,298.0,3,3,CBlock,3,3,0,1,156.0,0,0.0,692.0,848.0,GasA,3,Y,SBrkr,1118,912,0,0.0,0.0,2,1,4,1,4,8,Typ,1,3,Attchd,1976.0,3.0,2.0,551.0,3.0,3.0,Y,0,224,0,0,0,0,0,None,None,0,6,2007,WD ,Normal,RL,RESIDENTIAL,2-STORY 1946 & NEWER,60100.0,180400.0,2030.0,156.0,26
527455250,988,129250,20,RL,65.0,7150,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1966,1966,Hip,CompShg,HdBoard,HdBoard,BrkFace,52.0,3,3,CBlock,3,3,0,3,725.0,0,0.0,263.0,988.0,GasA,3,Y,SBrkr,988,0,0,1.0,0.0,1,0,3,1,3,5,Typ,0,0,Detchd,1974.0,1.0,1.0,360.0,3.0,3.0,Y,0,0,0,0,0,0,0,None,None,0,11,2007,WD ,Normal,RL,RESIDENTIAL,1-STORY 1946 & NEWER ALL STYLES,37600.0,112800.0,988.0,725.0,4
